Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
34,1.0,0.0,1078.0,14.0,135.0,2392.0,0.0,118.20500000999992,118.20500000999992,0.0,255.10076785087585,,,,,,,,,,,,,,,,56.62046699145488,31.072566813631855,110.6719088750287,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,1143.0,15.0,65.0,2457.0,0.0,51.805000010000015,51.805000010000015,0.0,260.09933972358704,,,,,,,,,,,,,,,,23.035477285411595,17.1433971176044,50.358052038486754,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,1218.0,16.0,75.0,2532.0,0.0,56.90400001000007,56.90400001000007,0.0,265.7893314361572,,,,,,,,,,,,,,,,20.18402420762187,16.806700693802487,55.44564383826665,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,1385.0,17.0,167.0,2699.0,0.0,135.80300000999983,135.80300000999983,0.0,277.6276876926422,,,,,,,,,,,,,,,,54.05934004330138,36.53752918610008,126.90199221498372,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,1502.0,18.0,117.0,2816.0,0.0,104.50200001000002,104.50200001000002,0.0,286.0498511791229,,,,,,,,,,,,,,,,44.56775963234566,27.868098550314333,99.38695909210766,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,1513.0,19.0,11.0,2827.0,0.0,8.20100001,8.20100001,0.0,287.67748379707336,,,,,,,,,,,,,,,,2.6504208777813703,2.75609140727857,8.180025405750156,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,1618.0,20.0,105.0,2932.0,0.0,65.30200001000009,65.30200001000009,0.0,295.336918592453,,,,,,,,,,,,,,,,27.619275526151494,17.50692118486317,62.46444052027437,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,88.0,1.0,88.0,3020.0,0.0,86.40200000999994,86.40200000999994,0.0,398.583820104599,,,,,,,,,,,,,,,,31.702842691665555,25.254370209913798,83.6958456988323,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,155.0,2.0,67.0,3087.0,0.0,63.80300001000003,63.80300001000003,0.0,403.753235578537,,,,,,,,,,,,,,,,29.615818787415098,18.18928270918575,61.880620772015206,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,258.0,3.0,103.0,3190.0,0.0,87.40300001000004,87.40300001000004,0.0,411.5510447025299,,,,,,,,,,,,,,,,36.76722883917678,24.98774868223024,83.69967511467947,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
