Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
29,1.0,0.0,202.0,9.0,20.0,644.0,0.0,30.004000010000006,30.004000010000006,0.0,85.84335398674011,,,,,,,,,,,,,,,,11.94765272459996,10.135712630732485,29.794841797305313,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,221.0,10.0,19.0,663.0,0.0,26.005000010000007,26.005000010000007,0.0,87.70904922485352,,,,,,,,,,,,,,,,9.544915581878785,8.935745538153538,25.849496110054364,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,247.0,11.0,26.0,689.0,0.0,42.00400000999999,42.00400000999999,0.0,90.11573314666748,,,,,,,,,,,,,,,,17.65490482051425,13.79122703063194,41.58655904371034,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,265.0,12.0,18.0,707.0,0.0,24.005000010000007,24.005000010000007,0.0,91.95575070381165,,,,,,,,,,,,,,,,8.639105552535698,8.288195150545851,23.873369479533896,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,283.0,13.0,18.0,725.0,0.0,24.005000010000007,24.005000010000007,0.0,93.92225551605225,,,,,,,,,,,,,,,,8.639105552535698,8.288195150545851,23.873369479533896,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,301.0,14.0,18.0,743.0,0.0,28.003000010000004,28.003000010000004,0.0,95.77514481544495,,,,,,,,,,,,,,,,11.618909159551325,9.402874821508869,27.821681326454534,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,316.0,15.0,15.0,758.0,0.0,20.004000010000006,20.004000010000006,0.0,97.42335224151611,,,,,,,,,,,,,,,,7.314691350556093,6.965542513888283,19.914193833575236,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,340.0,16.0,24.0,782.0,0.0,28.009000010000012,28.009000010000012,0.0,99.6521487236023,,,,,,,,,,,,,,,,8.719256852620232,9.572743293549742,27.827565410948072,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,373.0,17.0,33.0,815.0,0.0,58.003000009999994,58.003000009999994,0.0,102.5042667388916,,,,,,,,,,,,,,,,26.122004361119572,18.252237869838716,57.19817203812119,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,395.0,18.0,22.0,837.0,0.0,32.00500000999999,32.00500000999999,0.0,104.59219861030579,,,,,,,,,,,,,,,,12.306313308242483,10.844637326618304,31.766027144363036,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,408.0,19.0,13.0,850.0,0.0,16.004000010000006,16.004000010000006,0.0,106.08312392234802,,,,,,,,,,,,,,,,5.528773112710108,5.648967269923774,15.94807403356834,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,428.0,20.0,20.0,870.0,0.0,28.005000010000007,28.005000010000007,0.0,108.23459243774414,,,,,,,,,,,,,,,,10.458852133482061,9.57734260080909,27.82364661394431,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,20.0,1.0,20.0,890.0,0.0,30.004000010000006,30.004000010000006,0.0,137.0261673927307,,,,,,,,,,,,,,,,11.94765272459996,10.135712630732485,29.794841797305313,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,63.0,2.0,43.0,933.0,0.0,74.00500001000002,74.00500001000002,0.0,140.58175945281982,,,,,,,,,,,,,,,,32.3132738644412,23.397441293797936,72.68821745128032,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,107.0,3.0,44.0,977.0,0.0,82.00200001,82.00200001,0.0,144.13296961784363,,,,,,,,,,,,,,,,38.62148702545417,24.698953251006714,80.38303761849853,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,139.0,4.0,32.0,1009.0,0.0,54.00400000999999,54.00400000999999,0.0,146.8817389011383,,,,,,,,,,,,,,,,23.42515893401996,17.346547088411764,53.30770262673812,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
